PLAYER_NAME,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,JERSEY_NUMBER,POSITION,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,ROSTER_STATUS,PTS,REB,AST,STATS_TIMEFRAME,FROM_YEAR,TO_YEAR
Alaa Abdelnaby,Portland,Trail Blazers,POR,30,F,82.0,240.0,Duke,USA,1990.0,1.0,25.0,0.0,5.7,3.3,0.3,Career,1990,1994
Zaid Abdul-Aziz,Houston,Rockets,HOU,54,C,81.0,235.0,Iowa State,USA,1968.0,1.0,5.0,0.0,9.0,8.0,1.2,Career,1968,1977
Kareem Abdul-Jabbar,Los Angeles,Lakers,LAL,33,C,86.0,225.0,UCLA,USA,1969.0,1.0,1.0,0.0,24.6,11.2,3.6,Career,1969,1988
Mahmoud Abdul-Rauf,Denver,Nuggets,DEN,1,G,73.0,162.0,Louisiana State,USA,1990.0,1.0,3.0,0.0,14.6,1.9,3.5,Career,1990,2000
Tariq Abdul-Wahad,Sacramento,Kings,SAC,9,F-G,78.0,235.0,San Jose State,France,1997.0,1.0,11.0,0.0,7.8,3.3,1.1,Career,1997,2003
Shareef Abdur-Rahim,Memphis,Grizzlies,MEM,3,F,81.0,245.0,California,USA,1996.0,1.0,3.0,0.0,18.1,7.5,2.5,Career,1996,2007
Tom Abernethy,Golden State,Warriors,GSW,5,F,79.0,220.0,Indiana,USA,1976.0,2.0,43.0,0.0,5.6,3.2,1.2,Career,1976,1980
Forest Able,Philadelphia,76ers,PHI,6,G,75.0,180.0,Western Kentucky,USA,1956.0,,0.0,0.0,0.0,1.0,1.0,Career,1956,1956
Alex Abrines,Oklahoma City,Thunder,OKC,8,G,78.0,190.0,FC Barcelona,Spain,2013.0,2.0,32.0,0.0,5.3,1.4,0.5,Career,2016,2018
Precious Achiuwa,New York,Knicks,NYK,5,F,80.0,243.0,Memphis,Nigeria,2020.0,1.0,20.0,1.0,6.6,5.6,1.0,Season,2020,2024
Alex Acker,LA,Clippers,LAC,3,G,77.0,185.0,Pepperdine,USA,2005.0,2.0,60.0,0.0,2.7,1.0,0.5,Career,2005,2008
Donald Ackerman,New York,Knicks,NYK,12,G,72.0,183.0,Long Island-Brooklyn,USA,1953.0,2.0,0.0,0.0,1.5,0.5,0.8,Career,1953,1953
Mark Acres,Orlando,Magic,ORL,42,C,83.0,220.0,Oral Roberts,USA,1985.0,2.0,40.0,0.0,3.6,4.1,0.5,Career,1987,1992
Charles Acton,Houston,Rockets,HOU,24,F,78.0,210.0,Hillsdale,USA,,,0.0,0.0,3.3,2.0,0.5,Career,1967,1967
Quincy Acy,Sacramento,Kings,SAC,13,F,79.0,240.0,Baylor,USA,2012.0,2.0,37.0,0.0,4.9,3.5,0.6,Career,2012,2018
Alvan Adams,Phoenix,Suns,PHX,33,C,81.0,210.0,Oklahoma,USA,1975.0,1.0,4.0,0.0,14.1,7.0,4.1,Career,1975,1987
Don Adams,Detroit,Pistons,DET,10,F,79.0,210.0,Northwestern,USA,1970.0,2.0,120.0,0.0,8.7,5.6,1.8,Career,1970,1976
Hassan Adams,Brooklyn,Nets,BKN,8,F,76.0,220.0,Arizona,USA,2006.0,2.0,54.0,0.0,2.5,1.2,0.2,Career,2006,2008
Jaylen Adams,Atlanta,Hawks,ATL,10,G,72.0,225.0,St. Bonaventure,USA,,,0.0,0.0,2.7,1.5,1.6,Career,2018,2020
Jordan Adams,Memphis,Grizzlies,MEM,3,G,77.0,209.0,UCLA,USA,2014.0,1.0,22.0,0.0,3.2,0.9,0.6,Career,2014,2015
Michael Adams,Denver,Nuggets,DEN,23,G,70.0,165.0,Boston College,USA,1985.0,2.0,66.0,0.0,14.7,2.9,6.4,Career,1985,1995
Steven Adams,Houston,Rockets,HOU,12,C,83.0,265.0,Pittsburgh,New Zealand,2013.0,1.0,12.0,1.0,3.9,5.6,1.1,Season,2013,2024
Rafael Addison,Brooklyn,Nets,BKN,7,F,80.0,241.0,Syracuse,USA,1986.0,2.0,39.0,0.0,5.8,2.1,0.9,Career,1986,1996
Bam Adebayo,Miami,Heat,MIA,13,C-F,81.0,255.0,Kentucky,USA,2017.0,1.0,14.0,1.0,18.1,9.6,4.3,Season,2017,2024
Deng Adel,Cleveland,Cavaliers,CLE,32,F,79.0,200.0,Louisville,South Sudan,2018.0,,0.0,0.0,1.7,1.0,0.3,Career,2018,2018
Rick Adelman,Portland,Trail Blazers,POR,5,G,74.0,175.0,Loyola-Marymount,USA,1968.0,2.0,79.0,0.0,7.7,2.4,3.5,Career,1968,1974
Jeff Adrien,Charlotte,Hornets,CHA,12,F,79.0,245.0,Connecticut,USA,,,0.0,0.0,4.6,4.3,0.7,Career,2010,2014
Arron Afflalo,Denver,Nuggets,DEN,4,G,77.0,210.0,UCLA,USA,2007.0,1.0,27.0,0.0,10.8,2.9,1.8,Career,2007,2017
Ochai Agbaji,Toronto,Raptors,TOR,30,G,77.0,215.0,Kansas,USA,2022.0,1.0,14.0,1.0,10.4,3.8,1.5,Season,2022,2024
